sr_no,sol_id,acct_name,schm_code,principal_payment_due_date,principal_payment_amount,interest_payment_due_date,primary_manager_id,secondary_manager_id,tertiary_manager_id,cbo_srm_id,credit_admin_manager_id,normal_interest,interest_calc_status,penal_interest,penal_calc_status,processing_status
373793,39,LbetA|A:.(`CbHgZS=q'YlJg;8,LNBLA,28-02-2023,375000,28-02-2023,NA,367165,12324,235347,235347,9479.28,Done,,pending,Done
376574,66,7ggj3JEhAw^DgBfVP,LNECL,,,28-02-2023,213028,205534,25393,111708,356642,0,Done,,pending,Normal_Interest_Is_Zero
373796,41,>9H@:JT_0zZCaHZZBKq'YlJg;8,LNBLA,28-02-2023,256000,28-02-2023,NA,318613,318613,15069,15069,47151.03,Done,,pending,Done
373790,39,LbetA|A:.(`CbHgZS=q Q[,LNBLA,,,,NA,205589,20209,235347,235347,,pending,,pending,No_Interest_Payment_Due
376697,72,@ndi>oE:A%M8^GZ,LNECL,,,28-02-2023,128378,148578,9216,17897,21123,24989.04,Done,,pending,Done
378117,1164,Cir@<oW_9~QFhx;SP!q\#[y,LNECL,,,28-02-2023,NA,133019,80135,193739,197407,250980.97,Done,,pending,Done
373810,47,Iate7JS[:s^H]xfRFwF)Df}k6F8EN=<K0E^[,LNBLA,28-02-2023,659420.53,28-02-2023,NA,200193,128688,32792,32792,176164.65,Done,,pending,Done
373800,42,IhxeDoIa;RUBYNfeOA7*#@|`.8l,LNBLA,28-02-2023,50000,28-02-2023,214298,172584,8929,338092,339755,9258.49,Done,,pending,Done
377298,1018,Ahoa@nUllwPIX:gZLF3##ky^098~,LNECL,28-02-2023,272222,28-02-2023,116196,203134,43796,348267,348267,46620.89,Done,4.69,Done,Done
373812,48,Ifu@7xVi0~Q5cxccFN3+H8vd4=8j?,LNBLA,,,28-02-2023,NA,263905,334032,350864,350864,0,Done,,pending,Normal_Interest_Is_Zero
376242,48,"CZnuqzAj2%,A^E_d|DFz",LNECL,,,28-02-2023,NA,30183,12993,350864,350864,0,Done,,pending,Normal_Interest_Is_Zero
373816,57,IatiquRc@zZ55:heLK3#HkJk9=:fO=iA0Ob\S5,LNBLA,28-02-2023,500000,28-02-2023,NA,NA,42146,374069,13351,4059.59,Done,,pending,Done
373784,39,9hop7~EhARUBYNfeOA7*#h!of@8i,LNBLA,,,28-02-2023,NA,374301,374301,235347,235347,464086,Done,701.43,Done,Done
378134,1164,7lvh3JJ_DwX@ZKf,LNECL,28-02-2023,17187,28-02-2023,NA,351885,351883,321565,328583,1670.9,Done,,pending,Done
373814,57,?ghi@sTcl{Z8^:,LNBLA,28-02-2023,269350,28-02-2023,NA,347871,NA,374069,13351,141568.36,Done,,pending,Done
373802,43,"HZju>JPl2uUG^Ha1TGD""V8zq;""cqO<wtnUiZW?=@d0V5F@0)>",LNBLA,,,28-02-2023,205501,74293,47326,376831,376831,0,Done,,pending,Normal_Interest_Is_Zero
393447,352,D9uiHk j?sW5hA,LNPRT,28-02-2023,20000,28-02-2023,203771,154456,41135,31647,31647,15503.1,Done,32.76,Done,Done
373867,109,"EkqrqpL[C""aFhxT_Aw5~Hes^(@7EKJ3K(V^(Z:Cit,D",LNBLA,,,28-02-2023,NA,311929,324715,13764,13764,1615.04,Done,0,Done,Done
373831,81,Fntn;wA:1{_HgBUfQGD*,LNBLA,28-02-2023,287000,28-02-2023,NA,242158,120310,370995,370995,108823.7,Done,,pending,Done
373847,93,DZvuDkL:5w^6hx91CGD$Xdko0C2x,LNBLA,,,28-02-2023,NA,41553,26197,80426,115767,25979.71,Done,0,Done,Done
373826,75,"Ikk@4kL[7{,Gi>X]|A@zXk~m097E#K,H0+",LNBLA,,,28-02-2023,216568,124251,216568,18067,18067,0,Done,,pending,Normal_Interest_Is_Zero
378524,1164,Lbpo6JKo:s^s;xV`,LNECL,,,28-02-2023,NA,133019,12927,341426,374840,35104.45,Done,,pending,Done
375368,13,FZuh;x `<%S95Iie|DFz,LNECL,,,28-02-2023,NA,351562,351562,9390,9390,12070.14,Done,,pending,Done
386244,2865,Fkkm7JA^CsZ7Zxc`IAE~Lfq;:M7y@E=t7Tb^OE;@l0M5G<%,LNECL,28-02-2023,134800,28-02-2023,NA,335382,168059,9390,9390,12530.71,Done,5385.96,Done,Done
376886,86,9acn6|A:9(NF^<T_Qw5{Qlom,LNECL,,,28-02-2023,NA,260632,4798,378324,378324,0,Done,,pending,Normal_Interest_Is_Zero
376276,48,"Lrcn=kT_@z,IYRbX| ;%GakDfD6nQ9>:fNbUWE;d",LNECL,,,28-02-2023,NA,281823,334032,164346,164346,0,Done,,pending,Normal_Interest_Is_Zero
375636,35,"7guuKk n6w,IexccFN3+H8vd4=8j?",LNECL,,,28-02-2023,NA,204482,311608,26105,356935,0,Done,,pending,Normal_Interest_Is_Zero
376513,63,"ChpoByL:0""XCgL3ZK<;w#h|d=58jzD3B0V^L",LNECL,28-02-2023,422222,28-02-2023,NA,178568,NA,84950,327379,61581.44,Done,,pending,Invalid Customer Id
378096,1164,7mna@~Iml{ZHZE_ZD=@yH8vd4=8j?,LNECL,28-02-2023,538000,28-02-2023,NA,321348,142308,378857,356628,119240.27,Done,,pending,Done
373863,109,:^xiEsNa5RYI`>fY,LNBLA,,,28-02-2023,,,,,,664501.28,Done,667.89,Done,Cust_Email_Is_Blank
375343,13,FZuh;x `<%S95Iie|DFz,LNECL,28-02-2023,83333,28-02-2023,NA,351562,351562,9390,9390,10687.15,Done,,pending,Done
373843,90,H^roEo g.'`FZLf1MJ;-Dlo;3=1nO=.,LNBLA,28-02-2023,90000,28-02-2023,NA,59028,42555,88866,88866,4751.1,Done,,pending,Done
373868,109,F^trK} \6&OI^Mf1MNFVOln,LNBLA,28-02-2023,43000,28-02-2023,NA,208319,149829,13764,13764,2679.48,Done,,pending,Done
373838,86,IZtvqzR[8s_<5=XgBDA'Hj},LNBLA,28-02-2023,985000,28-02-2023,262791,142021,86597,378324,378324,166359.84,Done,,pending,Done
373848,95,";egg3xT:=(N@^L[VOKq'Ua!\;9cqDE3I,FG",LNBLA,28-02-2023,66667,28-02-2023,NA,206762,193493,148446,378530,7269.18,Done,,pending,Done
395118,1165,LPBhA~Efl#^=k:gV|D;$Llo_,LNSTL,28-02-2023,1400000,28-02-2023,NA,178074,9337,12712,108377,418182.69,Done,,pending,Done
375852,42,LZpe7~A:Awd7g:Ye|HD YY~`f@-rDL/9,LNECL,,,28-02-2023,NA,129101,20736,195917,195917,22155.82,Done,,pending,Done
373836,86,?gfi3x \6'QG,LNBLA,28-02-2023,45000,28-02-2023,NA,260632,4798,378324,378324,1485.75,Done,,pending,Done
377052,90,C9t@;xDo@'^=VE3UFKF)LZ o6F7,LNECL,28-02-2023,26350,28-02-2023,210425,126804,25852,88866,88866,4010.29,Done,,pending,Done
386274,287,"7ljo=k c;&`=iNgV|G8VW]mc6B3qJ?Ctl""fI\2=em,N@",LNECL,,,28-02-2023,NA,10726,128632,356104,115767,34993.69,Done,22.76,Done,Done
378576,1164,";Ztt:JEf2 QBiL3UBN7#Rhw`5HchJE:65[9X`:Lat, 8<D*/Zw",LNECL,,,28-02-2023,NA,175585,175585,341426,374840,49710.34,Done,,pending,Done
377273,1010,LbpaKkK[l'^5Y>ed,LNECL,28-02-2023,62500,28-02-2023,NA,347039,119729,326943,373161,10040.24,Done,,pending,Done
380987,1530,7Zuh;|W[1RY9i:_d,LNECL,28-02-2023,191700,28-02-2023,NA,105093,267280,388664,190553,24950.41,Done,,pending,Done
396988,1609,"JkcnEkCn6""ZshH_fQAA%V8si;96s<L3D5Ce(W?:iafP><M""/ZS8m9s-*/",LNSTL,28-02-2023,2777778,28-02-2023,286097,NA,603,1656,382457,633942.15,Done,,pending,Done
377240,1002,LZuu6oV:2!`9gIeZP=E,LNECL,,,28-02-2023,NA,178367,209467,259421,108377,0,Done,,pending,Normal_Interest_Is_Zero
377230,97,@Zk@ByLs:w^G5<b^M9@0#h|d=58jzD3B0V^L,LNECL,,,28-02-2023,NA,210926,187032,356552,330191,0,Done,,pending,Normal_Interest_Is_Zero
379331,118,"AGmNEXKHl~Q5iAXc|HD&F]}n6F7EKJ3K(V^(Z:Cit,D",LNECL,,,28-02-2023,NA,157929,9891,346430,346430,0,Done,,pending,Normal_Interest_Is_Zero
384169,188,IZvaDk l<~X9gxY]LMDVPavg:s4{Ow6I+,LNECL,28-02-2023,580000,28-02-2023,NA,46045,354379,360412,31468,76593.42,Done,,pending,Done
378535,1164,7mt@?kLf2sN@ZxVRPL;%J8zm0J%y@w6>4KmMR,LNECL,,,28-02-2023,NA,16200,142308,154495,374839,0,Done,,pending,Normal_Interest_Is_Zero
386425,2931,"CZfa@J&:0""YDVGl",LNECL,,,28-02-2023,NA,352403,53597,30628,30628,16193.97,Done,14.46,Done,Done
376664,70,"AZnl3w \?""`<ZKf1@GF+Rf};7J8EGA7>;G]",LNECL,,,28-02-2023,NA,335710,324003,74634,74634,491525.34,Done,,pending,Done
377093,90,"Ikk@EkB[?{,>ZPX]I=D0",LNECL,,,28-02-2023,NA,207553,52620,265613,265613,0,Done,,pending,Normal_Interest_Is_Zero
375653,38,Iate7tI:/s`H5L[`M,LNECL,,,28-02-2023,NA,328847,328847,85963,85963,43676.16,Done,,pending,Done
376955,87,"Iate7JR[7RO5hMXTEwB)Lnko,s0nHA>:+",LNECL,,,28-02-2023,NA,372958,368674,27770,27770,42164.57,Done,,pending,Done
375993,43,Iate7JAh;s\IgGT1DA@%Lfq;-5'yJJC,LNECL,,,28-02-2023,260444,186217,16281,387563,387563,53157.53,Done,,pending,Done
375413,15,C9o@E~Rc=&,LNECL,28-02-2023,275000,28-02-2023,148642,148642,75900,378655,328668,40824.49,Done,,pending,Done
378193,1164,"89u@F|A]A""^G5IeZS9F{#dsh0H)i",LNECL,28-02-2023,138888,28-02-2023,156688,156688,16200,154495,374839,17449.71,Done,,pending,Done
378562,1164,"89u@F|A]A""^G5IeZS9F{#dsh0H)i",LNECL,,,28-02-2023,156688,156688,16200,154495,374839,56906.16,Done,,pending,Done
378941,1165,":ZvaqzAnAw^Bhx;ZK<;w,8vd4=8j?",LNECL,,,28-02-2023,NA,115171,150963,24526,386667,0,Done,,pending,Normal_Interest_Is_Zero
376931,87,"Iate7JR[7RO5hMXTEwB)Lnko,s0nHA>:+",LNECL,28-02-2023,309000,28-02-2023,NA,372958,368674,27770,27770,39821.67,Done,,pending,Done
376913,86,HZor3~Ahl a@iBY`L<EVLfnd(s4{Ow6I+,LNECL,,,28-02-2023,174978,260632,4798,378324,378324,0,Done,,pending,Normal_Interest_Is_Zero
377224,97,8kkt;}H:=zMFb:,LNECL,,,28-02-2023,198657,130871,27407,356552,330191,0,Done,,pending,Normal_Interest_Is_Zero
379144,1165,"Iatiq!A[?{,9a>VeOA5wOkJk9=:fO=iA0Ob\S5u@N",LNECL,,,28-02-2023,NA,7328,18151,8036,390307,244904.79,Done,,pending,Done
377313,1022,AZoi@s n?sP9gL,LNECL,,,28-02-2023,152061,142021,86597,375301,377900,0,Done,,pending,Normal_Interest_Is_Zero
376422,57,7`crIkL:1{_HgBUfQGD*,LNECL,,,28-02-2023,NA,157349,60026,374069,13351,0,Done,,pending,Normal_Interest_Is_Zero
386404,293,Ikk@EkI:8%UG]GT1DJ3%Llon,LNECL,28-02-2023,30500,28-02-2023,NA,213763,25118,74634,74634,4758.98,Done,72.88,Done,Done
375695,39,Iocr@JT_9wOCbx_ZJAF{G,LNECL,,,28-02-2023,NA,306264,306264,142339,235347,0,Done,,pending,Normal_Interest_Is_Zero
378244,1164,Mlg@ByLsGs\seK\g>L7VOawd;9(,LNECL,28-02-2023,77778,28-02-2023,NA,175585,175585,193739,197407,11800.34,Done,,pending,Done
375871,42,Iiti@q e;{`G,LNECL,,,28-02-2023,214298,176188,8929,207558,207558,18813.01,Done,,pending,Done
395107,1165,DZviAxAfl#X5hM\T|L7yKfyg6;-jNw6>4KmMR,LNSTL,28-02-2023,125000,28-02-2023,NA,148320,29162,24526,386667,16685.62,Done,2.09,Done,Done
376631,70,CHuN3uSb.%MsXH_U|KF&UYq`,LNECL,,,28-02-2023,NA,213763,25118,74634,74634,97928.36,Done,,pending,Done
379385,1201,7gcnFr m5%Q95<beBP,LNECL,28-02-2023,313888,28-02-2023,NA,262759,137372,119808,373123,44356.5,Done,,pending,Done
377243,1003,EfBs3|Tb6RP5^Kl1MJAzX[~nfD:yzD>9,LNECL,,,28-02-2023,NA,344476,19343,36096,36096,22976.71,Done,,pending,Done
394957,1165,"Jag@DkIfDsesZFc]LQ7{V?J^6!3u@J+I0X^(QC;di; ?B:* i-kp5w""90'",LNSTL,,,28-02-2023,NA,319751,6542,7030,346432,1398488,Done,0,Done,Done
386535,2988,JkkzAxE::s^?ZM\_D,LNECL,,,28-02-2023,NA,193946,42151,371100,330129,13861.52,Done,0,Done,Done
378163,1164,"Iate7JSbDw`5b;Tc|KF~Dfkf=57nzB+>5""lIP97",LNECL,28-02-2023,250000,28-02-2023,NA,175585,21737,193739,197407,36073.97,Done,,pending,Done
382438,1634,IZiaDJC_:wZHhx_eA,LNECL,28-02-2023,3543750,28-02-2023,NA,171107,NA,1305,6098,869432.36,Done,,pending,Done
378561,1164,Fkks?JLi4{_H^<f1MNFVOln,LNECL,28-02-2023,322580,28-02-2023,NA,156688,110834,12754,328584,39330.47,Done,,pending,Done
392273,4815,:^nt3JCh0RMDeE\T>L;&Qk,LNPLS,,,28-02-2023,NA,320326,194682,373161,373161,93259.11,Done,0,Done,Done
376260,48,"LbfaDlH[lsX@dR3TLF6,Flym:",LNECL,,,28-02-2023,NA,186518,14510,64285,64285,0,Done,,pending,Normal_Interest_Is_Zero
376780,78,ChjiFJIm=s`seK\g>L7VOawd;9(,LNECL,,,28-02-2023,NA,321864,321864,107299,107299,522698.63,Done,,pending,Done
375370,13,HZju>JF_?%[AZM37|=@}Lfo`9=2lzH@IfNmL,LNECL,,,28-02-2023,NA,NA,128688,357138,357138,356095.89,Done,,pending,Done
378811,1165,Ikkv3|I:.~XCnL,LNECL,28-02-2023,341666,28-02-2023,NA,154596,NA,12712,108377,39584.28,Done,,pending,Done
376991,87,"Kevr3mA\l{Z8^:3]Q<q^Ig|h,F0~zC8D>P9IapKlt9A/49`$cw5ekz/9j/tRh",LNECL,,,28-02-2023,NA,372958,368674,371342,371342,189585.62,Done,,pending,Done
379174,1165,AZu@ByW_?R_CaNgZLFEVSjsq(H)EGA7>;G],LNECL,,,28-02-2023,NA,124683,19257,167793,370335,0,Done,,pending,Normal_Interest_Is_Zero
375397,13,LZtd3x j2'^CXAX^F;3#V8Rkos0y?,LNECL,,,28-02-2023,NA,328847,328847,9390,9390,45089.04,Done,,pending,Done
378647,1164,7gcn6JEhAw^DgBfVP,LNECL,28-02-2023,305555,28-02-2023,NA,156688,33851,334766,322056,72284.85,Done,,pending,Done
378444,1164,CZ{uDJPl<uQGhHed|HH+#d~_,LNECL,,,28-02-2023,NA,156688,33851,193739,197407,34982.88,Done,,pending,Done
375648,38,:pcr=oSbl'^5cLc`OLqyRjzj958nJFitt,LNECL,,,28-02-2023,NA,191048,121144,357138,357138,71986.3,Done,,pending,Done
397848,210,@9i@:ySc2%eseK\g>L7VOawd;9(,LNSTL,,,28-02-2023,NA,19817,NA,30192,30192,1927.99,Done,,pending,Done
386494,2967,"OZuhGJIl<!,DkM3]Q<",LNECL,28-02-2023,411111,28-02-2023,NA,152823,135360,293291,293291,52225.77,Done,33.41,Done,Done
379460,1222,>ou@5yNmA%a7iBb_|E3+Hjs\3GcuMA@6;G9TW>?te+,LNECL,,,28-02-2023,NA,198416,169268,329262,329262,28938.82,Done,178.58,Done,Done
375965,43,Fkq@>kBi?s`CgBXd|HD YY~`f@-rDL/9,LNECL,,,28-02-2023,NA,97891,47326,376831,376831,0,Done,,pending,Normal_Interest_Is_Zero
376835,81,@9e@@$Li;&,LNECL,,,28-02-2023,NA,242158,120310,5321,5321,0,Done,,pending,Normal_Interest_Is_Zero
